File Percentage		One-Loop Method		Three-Loop Method
5						33						225
10						116						246
15						250						334
20						156						492
25						262						632
30						448						1038
35						484						1477
40						287						1304
45						259						1341
50						357						1837
55						775						2160
60						376						2897
65						374						6351
70						599						4158
75						484						2229
80						1364						2808
85						537						2694
90						756						2935
95						582						2732
100						591						6540
